Scheme Name;Net Asset Value
HSBC Flexi Cap Fund - Regular IDCW;34.3878
ICICI Prudential Flexicap Fund - Direct Plan - Growth;12.93
ICICI Prudential Flexicap Fund - Direct Plan - IDCW;12.92
ICICI Prudential Flexicap Fund - Growth;12.58
ICICI Prudential Flexicap Fund - IDCW;12.57
IDBI FLEXI CAP FUND Growth Direct;41.59
IDBI FLEXI CAP FUND Growth Regular;36.90
IDBI FLEXI CAP FUND IDCW - Direct Plan;26.24
IDBI FLEXI CAP FUND IDCW - Regular Plan;22.64
Invesco India Flexi Cap Fund - Direct Plan - Growth;11.67
Invesco India Flexi Cap Fund - Direct Plan - IDCW;11.68
Invesco India Flexi Cap Fund - Growth;11.4
Invesco India Flexi Cap Fund - IDCW;11.4
ITI Flexi Cap Fund- Direct Plan- Growth;11.5707
ITI Flexi Cap Fund- Direct Plan- IDCW;11.5707
ITI Flexi Cap Fund- Regular Plan- Growth;11.4931
ITI Flexi Cap Fund- Regular Plan- IDCW;11.4931
JM Flexicap Fund (Direct) - Growth Option;68.0906
JM Flexicap Fund (Direct) - IDCW;61.8910
JM Flexicap Fund (Regular) - Growth option;61.5842
JM Flexicap Fund (Regular) - IDCW;47.4553
Kotak Flexicap Fund - Growth;57.893
Kotak Flexicap Fund - Growth - Direct;64.056
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option;34.958
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option- Direct;39.12
LIC MF Flexi Cap Fund-Direct Plan-Growth;77.741
LIC MF Flexi Cap Fund-Direct Plan-IDCW;26.1786
LIC MF Flexi Cap Fund-Regular Plan-Growth;71.9282
LIC MF Flexi Cap Fund-Regular Plan-IDCW;22.6978
Mahindra Manulife Flexi Cap Fund - Direct Plan -Growth;11.8330
Mahindra Manulife Flexi Cap Fund - Direct Plan -IDCW;11.8330
Mahindra Manulife Flexi Cap Fund - Regular Plan -Growth;11.4067
Mahindra Manulife Flexi Cap Fund - Regular Plan -IDCW;11.4067
Mirae Asset Flexi Cap Fund - Direct Plan -  IDCW;10.983
Mirae Asset Flexi Cap Fund - Direct Plan - Growth;10.983
Mirae Asset Flexi Cap Fund - Regular Plan - Growth;10.927
Mirae Asset Flexi Cap Fund - Regular Plan - IDCW;10.930
Motilal Oswal Flexi Cap Fund Direct - IDCW Payout/Reinvestment;23.4564
Motilal Oswal Flexi cap Fund Direct Plan-Growth Option;38.4835
Motilal Oswal Flexi cap Fund Regular - IDCW Payout/Reinvestment;22.9840
Motilal Oswal Flexi Cap Fund Regular Plan-Growth Option;35.3486
Navi Flexi Cap Fund - Direct Plan - Growth;19.3042
NAVI FLEXI CAP FUND - DIRECT PLAN ANNUAL IDCW PAYOUT;19.1653
NAVI FLEXI CAP FUND - DIRECT PLAN HALF YEARLY IDCW PAYOUT;19.1657
NAVI FLEXI CAP FUND - DIRECT PLAN MONTHLY IDCW PAYOUT;19.1626
NAVI FLEXI CAP FUND - DIRECT PLAN NORMAL IDCW PAYOUT;19.1414
NAVI FLEXI CAP FUND - DIRECT PLAN QUARTERLY IDCW PAYOUT;19.1798
Navi Flexi Cap Fund - Regular Plan - Growth;17.4657
NAVI FLEXI CAP FUND - REGULAR PLAN ANNUAL IDCW PAYOUT;17.4659
NAVI FLEXI CAP FUND - REGULAR PLAN HALF YEARLY IDCW PAYOUT;17.4679
NAVI FLEXI CAP FUND - REGULAR PLAN MONTHLY IDCW PAYOUT;17.4722
NAVI FLEXI CAP FUND - REGULAR PLAN NORMAL IDCW PAYOUT;17.4681
NAVI FLEXI CAP FUND - REGULAR PLAN QUARTERLY IDCW PAYOUT;17.467
Nippon India Flexi Cap Fund - Direct Plan - Growth Plan - Growth Option;11.8129
Nippon India Flexi Cap Fund - Direct Plan - IDCW Option;11.8129
Nippon India Flexi Cap Fund - Regular Plan - Growth Plan - Growth Option;11.4792
Nippon India Flexi Cap Fund - Regular Plan - IDCW Option;11.4792
PGIM India Flexi Cap Fund - Direct Plan - Dividend Option;19.09
PGIM India Flexi Cap Fund - Direct Plan - Growth Option;30.79
PGIM India Flexi Cap Fund - Regular Plan - Dividend Option;17.39
PGIM India Flexi Cap Fund - Regular Plan - Growth Option;27.1
Parag Parikh Flexi Cap Fund - Direct Plan - Growth;59.0057
Parag Parikh Flexi Cap Fund - Regular Plan - Growth;54.9585
quant Flexi Cap Fund - Growth Option - Regular Plan;65.2774
quant Flexi Cap Fund - Growth Option-Direct Plan;70.7656
quant Flexi Cap Fund - IDCW Option - Direct Plan;48.1398
quant Flexi Cap Fund - IDCW Option - Regular Plan;46.6568
Samco Flexi Cap Fund - Direct Plan - Growth Option;10.23
Samco Flexi Cap Fund - Regular Plan - Growth Option;10.01
SBI Flexicap Fund - DIRECT PLAN - Growth Option;89.6707
SBI Flexicap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW);44.8201
SBI Flexicap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW);36.5851
SBI Flexicap Fund - REGULAR PLAN -Growth Option;81.7041
Shriram Flexi Cap Fund - Direct Growth;16.8709
Shriram Flexi Cap Fund - Direct-IDCW;16.7660
Shriram Flexi Cap Fund - Regular Growth;15.4838
Shriram Flexi Cap Fund - Regular-IDCW;15.4766
Sundaram Flexicap Fund Direct Growth;10.7862
Sundaram Flexicap Fund Direct Plan IDCW Payout;10.7861
Sundaram Flexicap Fund Direct Plan IDCW Reinvestment;10.7861
Sundaram Flexicap Fund Regular Growth;10.6350
Sundaram Flexicap Fund Regular Plan IDCW Payout;10.6350
Sundaram Flexicap Fund Regular Plan IDCW Reinvestment;10.6350
TATA Flexi Cap Fund - Direct Plan - Payout of Income Distribution cum capital withdrawal option ;18.1685
Tata Flexi Cap Fund -Regular Plan-Growth;16.8061
TATA Flexi Cap Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option;18.1685
TATA Flexi Cap Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ;16.8061
TATA Flexi Cap Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ;16.8061
Tata Flexi Cap Fund-Direct Plan-Growth;18.1685
Taurus Flexi Cap Fund - Direct Plan -  Payout of Income Distribution cum Capital Withdrawal option;82.01
Taurus Flexi Cap Fund - Direct Plan - Growth;162.53
Taurus Flexi Cap Fund - Regular Plan - Growth ;156.42
Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option;75.91
Union Flexi Cap Fund - Direct Plan - Growth Option;39.27
Union Flexi Cap Fund - Direct Plan - IDCW Option;34.31
Union Flexi Cap Fund - Growth Option;36.13
Union Flexi Cap Fund - IDCW Option;22.82
UTI - Flexi Cap Fund-Growth Option;247.4577
UTI - Flexi Cap Fund-Growth Option - Direct;261.5599
UTI Flexi Cap Fund - Direct Plan - IDCW;174.0639
UTI Flexi Cap Fund - Regular Plan - IDCW;163.6032
WhieOak Capital Flexi Cap Fund Regular Plan Growth;11.288
WhiteOak Capital Flexi Cap Fund Direct Plan Growth;11.450
WhiteOak Capital Flexi Cap Fund Direct Plan IDCW;11.450
WhiteOak Capital Flexi Cap Fund Regular Plan IDCW;11.288
360 ONE Focused Equity Fund - Direct Plan - Dividend;36.4891
360 ONE Focused Equity Fund - Regular Plan - Dividend;29.3633
360 ONE Focused Equity Fund -Regular Plan - Growth;33.1879
360 ONE Focused Equity Fund-Direct Plan-Growth;36.8649
Aditya Birla Sun Life Focused Equity Fund - Growth - Direct Plan;106.8859
Aditya Birla Sun Life Focused Equity Fund -Direct - IDCW;46.9486
Aditya Birla Sun Life Focused Equity Fund -Growth Option;96.7751
Aditya Birla Sun Life Focused Equity Fund -Regular - IDCW;20.329
Axis Focused 25 Fund - Direct Plan - Growth Option;47.69
Axis Focused 25 Fund - Direct Plan - IDCW;31.57
Axis Focused 25 Fund - Regular Plan - Growth Option;42.14
Axis Focused 25 Fund - Regular Plan - IDCW;18.11
BANDHAN Focused Equity Fund - Regular Plan - Growth;57.970
BANDHAN Focused Equity Fund - Regular Plan - IDCW;16.212
BANDHAN Focused Equity Fund-Direct Plan-Growth;66.441
BANDHAN Focused Equity Fund-Direct Plan-IDCW;27.835
BARODA BNP PARIBAS Focused Fund - Direct Plan - Growth Option;17.2779
BARODA BNP PARIBAS Focused Fund - Direct Plan - IDCW Option;14.8771
BARODA BNP PARIBAS Focused Fund - Regular Plan - IDCW Option;13.6860
BARODA BNP PARIBAS Focused Fund - Regular Plan-Growth Option;15.8503
Canara Robeco Focused Equity Fund - Direct Plan - Growth Option;13.8800
Canara Robeco Focused Equity Fund - Direct Plan - IDCW (Payout/Reinvestment);13.8800
Canara Robeco Focused Equity Fund - Regular Plan - Growth Option;13.4000
Canara Robeco Focused Equity Fund - Regular Plan - IDCW (Payout/Reinvestment);13.3500
DSP Focus Fund - Direct Plan - Growth;38.978
DSP Focus Fund - Direct Plan - IDCW;32.254
DSP Focus Fund - Regular Plan - Growth;35.681
DSP Focus Fund - Regular Plan - IDCW;16.935
Edelweiss Focused Equity Fund - Direct Plan - Growth;11.445
Edelweiss Focused Equity Fund - Direct Plan - IDCW;11.444
Edelweiss Focused Equity Fund - Regular Plan - Growth;11.269
Edelweiss Focused Equity Fund - Regular Plan - IDCW;11.268
Franklin India Focused Equity Fund - Direct - Growth;82.5015
Franklin India Focused Equity Fund - Direct - IDCW ;37.1011
Franklin India Focused Equity Fund - Growth Plan;74.4978
Franklin India Focused Equity Fund - IDCW ;31.7653
HDFC Focused 30 Fund - Growth Option - Direct Plan;158.771
HDFC Focused 30 Fund - GROWTH PLAN;143.431
HDFC Focused 30 Fund - IDCW Option - Direct Plan;23.472
HDFC Focused 30 Fund - IDCW PLAN;19.259
HSBC Focused Fund - Direct Growth;17.9683
HSBC Focused Fund - Direct IDCW;15.9438
HSBC Focused Fund - Regular Growth;17.1679
HSBC Focused Fund - Regular IDCW;15.2448
ICICI Prudential Focused Equity Fund - Direct Plan - Growth;62.75
ICICI Prudential Focused Equity Fund - Direct Plan - IDCW;41.36
ICICI Prudential Focused Equity Fund - Growth;56.10
ICICI Prudential Focused Equity Fund - IDCW;21.42
IDBI FOCUSED 30 EQUITY FUND - Growth Direct;17.44
IDBI FOCUSED 30 EQUITY FUND - Growth Regular;16.18
IDBI FOCUSED 30 EQUITY FUND - IDCW Regular;16.18
IDBI FOCUSED 30 EQUITY FUND -IDCW Direct;17.44
Invesco India Focused 20 Equity Fund - Direct Plan - Growth;16.41
Invesco India Focused 20 Equity Fund - Direct Plan - IDCW (Payout / Reinvestment);14.81
Invesco India Focused 20 Equity Fund - Growth;15.69
Invesco India Focused 20 Equity Fund - IDCW (Payout / Reinvestment);14.11
JM Focused Fund (Direct)  - Growth Option;15.1283
JM Focused Fund (Direct) -  IDCW;14.8261
JM Focused Fund (Regular) - Growth Option;13.3352
JM Focused Fund (Regular) - IDCW;13.3346
Kotak Focused equity Fund- Direct Plan- Growth option;18.661
Kotak Focused Equity Fund- Regular plan _ Growth Option;17.476
Kotak Focused Equity Fund- Regular Plan-Income Distribution cum capital withdrawal option;17.476
Kotak Focused Equity Fund-Direct Plan- Income Distribution cum capital withdrawal option;18.661
Mahindra Manulife Focused Fund - Direct Plan - IDCW;14.4888
Mahindra Manulife Focused Fund - Direct Plan -Growth;17.8293
Mahindra Manulife Focused Fund - Regular Plan - Growth;16.8942
Mahindra Manulife Focused Fund - Regular Plan - IDCW;13.6435
Mirae Asset Focused Fund Direct IDCW;20.725
Mirae Asset Focused Fund Direct Plan Growth;20.730
Mirae Asset Focused Fund Regular IDCW;19.531
Mirae Asset Focused Fund Regular Plan Growth;19.527
Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option;40.7807
Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option;35.7321
Motilal Oswal Focused 25 Fund Direct - IDCW Payout/Reinvestment;20.7176
Motilal Oswal Focused 25 Fund Regular - IDCW Payout/Reinvestment;18.2284
NIPPON INDIA FOCUSED EQUITY FUND - DIRECT Plan - IDCW Option;38.6175
Nippon India Focused Equity Fund - Direct Plan Growth Plan - Growth Option;92.8897
NIPPON INDIA FOCUSED EQUITY FUND - IDCW OPTION;29.1648
Nippon India Focused Equity Fund -Growth Plan -Growth Option;85.6500
quant Focused Fund - Growth Option - Regular Plan;59.5715
quant Focused Fund - Growth Option-Direct Plan;63.9892
quant Focused Fund - IDCW Option - Direct Plan;37.4102
quant Focused Fund - IDCW Option - Regular Plan;44.2841
SBI Focused Equity Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW);65.4103
SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH;268.4132
SBI Focused Equity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW);44.5030
SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH;243.3088
Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)- Direct Plan - Growth Option;128.1170
Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)- Direct Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option;37.7149
Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)-Growth Option;118.1572
Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)-Half Yearly Income Distribution CUM Capital Withdrawal Option;35.4272
TATA Focused Equity Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ;17.4173
TATA Focused Equity Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ;17.4173
TATA Focused Equity Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ;16.3419
TATA Focused Equity Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ;16.3419
Tata Focused Equity Fund-Direct Plan-Growth;17.4173
Tata Focused Equity Fund-Regular Plan-Growth;16.3419
Union Focused Fund - Direct Plan - Growth Option;19.60
Union Focused Fund - Direct Plan - IDCW Option;19.60
Union Focused Fund - Regular Plan - Growth Option;18.92
Union Focused Fund - Regular Plan - IDCW Option;18.92
UTI Focused Equity Fund - Direct Plan - Growth Option;11.5326
UTI Focused Equity Fund - Direct Plan - IDCW Payout Option;11.5323
UTI Focused Equity Fund - Regular Plan - Growth Option;11.1759
UTI Focused Equity Fund - Regular Plan - IDCW Payout Option;11.176
Aditya Birla Sun Life Equity Advantage Fund - Growth - Direct Plan;707.85
Aditya Birla Sun Life Equity Advantage Fund - Regular Growth;647.27
Aditya Birla Sun Life Equity Advantage Fund -Direct - IDCW;174.9
Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW;115.74
Axis Growth Opportunities Fund - Direct Plan - Growth;24.25
Axis Growth Opportunities Fund - Direct Plan - IDCW;20.56
Axis Growth Opportunities Fund - Regular Plan - Growth;22.54
Axis Growth Opportunities Fund - Regular Plan - IDCW;16.61
BANDHAN Core Equity Fund - Regular Plan - Growth;78.677
BANDHAN Core Equity Fund - Regular Plan - IDCW;21.004
BANDHAN Core Equity Fund-Direct Plan-Growth;89.500
BANDHAN Core Equity Fund-Direct Plan-IDCW;26.881
BANK OF INDIA Large & Mid Cap  Equity Fund Regular Plan- Quarterly IDCW;21.88
BANK OF INDIA Large & Mid Cap Equity Fund Direct  Plan- Quarterly IDCW;18.76
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan- Bonus;34.86
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Growth;67.47
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Regular IDCW;18.48
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan- Growth;65.12
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Bonus;65.12
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Quarterly IDCW;18.37
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Regular IDCW;18.23
BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Growth;60.10
BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Regular IDCW;17.94
BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan-Bonus;60.09
Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option;18.6654
Baroda BNP Paribas Large and Mid Cap Fund-Direct Plan-IDCW Option;17.1653
Baroda BNP Paribas Large and Mid Cap Fund-Regular Plan-Growth Option;17.8434
Baroda BNP Paribas Large and Mid Cap Fund-Regular plan-IDCW Option;15.4286
CANARA ROBECO EMERGING EQUITIES - DIRECT PLAN - GROWTH OPTION;193.6000
CANARA ROBECO EMERGING EQUITIES - DIRECT PLAN - IDCW (Payout/Reinvestment);97.1500
CANARA ROBECO EMERGING EQUITIES - REGULAR PLAN - GROWTH OPTION;172.7900
CANARA ROBECO EMERGING EQUITIES - REGULAR PLAN - IDCW (Payout/Reinvestment);65.2600
DSP Equity Opportunities Fund - Direct Plan - Growth;423.519
DSP Equity Opportunities Fund - Direct Plan - IDCW;81.455
DSP Equity Opportunities Fund-Regular Plan - Growth;387.172
DSP Equity Opportunities Fund-Regular Plan - IDCW;29.187
Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option;66.04
Edelweiss Large & Mid Cap Fund - Regular Plan - Growth Option;57.86
Edelweiss Large and Mid Cap Fund - Direct Plan - IDCW Option;25.616
Edelweiss Large and Mid Cap Fund - Regular Plan - IDCW Option;22.067
Franklin India Equity Advantage Fund - Direct - Growth;138.5513
Franklin India Equity Advantage Fund - Direct - IDCW ;19.4979
Franklin India Equity Advantage Fund - Growth Plan;128.0704
Franklin India Equity Advantage Fund - IDCW ;17.3310
HDFC Large and Mid Cap Fund - Growth Option;218.409
HDFC Large and Mid Cap Fund - Growth Option - Direct Plan;225.802
HDFC Large and Mid Cap Fund - IDCW Option;27.439
HDFC Large and Mid Cap Fund - IDCW Option - Direct Plan;34.244
HSBC Large & Mid Cap Fund - Direct Growth;18.5452
HSBC Large & Mid Cap Fund - Direct IDCW;16.9957
HSBC Large & Mid Cap Fund - Regular Growth;17.3404
HSBC Large & Mid Cap Fund - Regular IDCW;15.8319
ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth;682.42
ICICI Prudential Large & Mid Cap Fund - Direct Plan - IDCW;37.34
ICICI Prudential Large & Mid Cap Fund - Growth;622.16
ICICI Prudential Large & Mid Cap Fund - IDCW;23.78
Invesco India Growth Opportunities Fund - Direct Plan - Growth;65.77
Invesco India Growth Opportunities Fund - Direct Plan - IDCW (Payout / Reinvestment);33.05
Invesco India Growth Opportunities Fund - Growth;56.92
Invesco India Growth Opportunities Fund - IDCW (Payout / Reinvestment);28.2
Kotak Equity Opportunities Fund - Growth;226.182
Kotak Equity Opportunities Fund - Growth - Direct;253.776
Kotak Equity Opportunities Fund - Payout of Income Distribution cum capital withdrawal option;39.46
Kotak Equity Opportunities Fund - Payout of Income Distribution cum capital withdrawal option - Direct;44.781
LIC MF Large & Mid Cap Fund-Direct Plan-Growth;28.0668
LIC MF Large & Mid Cap Fund-Direct Plan-IDCW;22.2718
LIC MF Large & Mid Cap Fund-Regular Plan-Growth;25.068
LIC MF Large & Mid Cap Fund-Regular Plan-IDCW;20.2964
Mahindra Manulife Large & Mid Cap Fund - Direct Plan - IDCW;16.8979
Mahindra Manulife Large & Mid Cap Fund - Direct Plan -Growth;19.7547
Mahindra Manulife Large & Mid Cap Fund - Regular Plan - Growth;18.5172
Mahindra Manulife Large & Mid Cap Fund - Regular Plan - IDCW;15.7030
Mirae Asset Emerging Bluechip Fund - Direct Plan - Growth;112.723
Mirae Asset Emerging Bluechip Fund - Regular Plan - Growth Option;102.132
Mirae Asset Emerging Bluechip Fund Direct IDCW;67.141
Mirae Asset Emerging Bluechip Fund Regular IDCW;39.932
Motilal Oswal Large and Midcap Fund - Direct Plan Growth;20.2852
Motilal Oswal Large and Midcap Fund - Regular Plan Growth;19.1043
Motilal Oswal Large and Midcap Fund Direct - IDCW Payout/Reinvestment;17.5702
Motilal Oswal Large and Midcap Fund Regular - IDCW Payout/Reinvestment;16.7776
Navi Large & Midcap Fund - Direct Annual IDCW Payout;30.3499
Navi Large & Midcap Fund - Direct Half Yearly IDCW Payout;30.3775
Navi Large & Midcap Fund - Direct Normal IDCW Payout;30.4527
Navi Large & Midcap Fund - Regular Annual IDCW payout;27.5776
NAVI Large & Midcap Fund - Regular Half Yearly IDCW Payout;26.8148
Navi Large & Midcap Fund - Regular Normal IDCW Payout;26.8106
Navi Large & Midcap Fund- Direct Plan- Growth Option;30.8237
Navi Large & Midcap Fund- Regular Plan- Growth Option;26.8137
NIPPON INDIA VISION FUND - DIRECT Plan - IDCW Option;54.4281
Nippon India Vision Fund - Direct Plan Growth Plan - Bonus Option;165.1650
Nippon India Vision Fund - Direct Plan Growth Plan - Growth Option;974.1727
NIPPON INDIA VISION FUND - IDCW Option;49.2702
Nippon India Vision Fund Institutional Dividend Plan;258.7308
Nippon India Vision Fund-GROWTH PLAN-Bonus Option;154.3028
Nippon India Vision Fund-GROWTH PLAN-Growth Option;916.1489
quant Large & Mid Cap Fund - Bonus Option - Regular Plan;75.5577
quant Large & Mid Cap Fund - Bonus Option-Direct Plan;75.5577
quant Large & Mid Cap Fund - Growth Option;75.5045
quant Large & Mid Cap Fund - Growth Option-Direct Plan;80.4026
quant Large & Mid Cap Fund - IDCW Option - Direct Plan;37.4609
quant Large & Mid Cap Fund - IDCW Option - Regular Plan;46.0141
SBI Large & Midcap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW);236.8220
SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW);192.7363
SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth;454.3546
SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth;426.6183
Sundaram Large and Midcap Direct Plan - Income Distribution cum Capital Withdrawal (IDCW);27.9529
Sundaram Large and Midcap Fund Direct Plan - Growth;64.9438
Sundaram Large and Midcap Fund Regular Plan - Growth;59.0438
Sundaram Large and Midcap Regular Plan - Income Distribution cum Capital Withdrawal (IDCW);24.8783
Tata Large & MId Cap Fund -Direct Plan- Growth Option;432.5318
Tata Large & Mid Cap Fund Direct Plan - Payout of IDCW Option;84.7491
Tata Large & Mid Cap Fund Regular Plan - Payout of IDCW Option;62.5650
Tata Large & Mid Cap Fund- Regular Plan - Growth Option;388.1391
Union Large & Midcap Fund - Direct Plan - Growth Option;18.68
Union Large & Midcap Fund - Direct Plan - IDCW Option;18.68
Union Large & Midcap Fund - Regular Plan - Growth Option;17.94
Union Large & Midcap Fund - Regular Plan - IDCW Option;17.94
UTI - Core Equity Fund - Direct Plan - Growth Option;115.9834
UTI - Core Equity Fund - Regular Plan - Growth Option;110.1995
UTI Core Equity Fund - Direct Plan - IDCW;56.9952
UTI Core Equity Fund - Regular Plan - IDCW;53.6842
Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan;404.81
Aditya Birla Sun Life Frontline Equity Fund-DIRECT - IDCW;80.29
Aditya Birla Sun Life Frontline Equity Fund-Growth;371.43
Aditya Birla Sun Life Frontline Equity Fund-Regular - IDCW;34.09
Axis Bluechip Fund - Direct Plan - Growth;51.05
Axis Bluechip Fund - Direct Plan - IDCW;21.89
Axis Bluechip Fund - Regular Plan - Growth;45.22
Axis Bluechip Fund - Regular Plan - IDCW;16.45
BANDHAN Large Cap Fund - Regular Plan - Growth;52.991
BANDHAN Large Cap Fund - Regular Plan - IDCW;19.090
BANDHAN Large Cap Fund-Direct Plan-Growth;59.386
BANDHAN Large Cap Fund-Direct Plan-IDCW;24.435
BANK OF INDIA Bluechip Fund Direct Plan Growth;11.47
BANK OF INDIA Bluechip Fund Direct Plan IDCW;11.46
BANK OF INDIA Bluechip Fund Regular Plan Growth;11.18
BANK OF INDIA Bluechip Fund Regular Plan IDCW;11.18
BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option;171.2683
BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - IDCW Option;22.8375
BARODA BNP PARIBAS LARGE CAP Fund - Regular Plan - IDCW Option;19.4820
BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option;152.1780
CANARA ROBECO BLUE CHIP EQUITY FUND - DIRECT PLAN - GROWTH OPTION;50.1500
CANARA ROBECO BLUE CHIP EQUITY FUND - DIRECT PLAN - IDCW (Payout/Reinvestment);40.4200
CANARA ROBECO BLUE CHIP EQUITY FUND - REGULAR PLAN - GROWTH OPTION;44.5000
CANARA ROBECO BLUE CHIP EQUITY FUND - REGULAR PLAN - IDCW (Payout/Reinvestment);22.7300
DSP Top 100 Equity Fund - Direct Plan - Growth;337.582
DSP Top 100 Equity Fund - Direct Plan - IDCW;23.338
DSP Top 100 Equity Fund - Regular Plan - Growth;314.292
DSP Top 100 Equity Fund - Regular Plan - IDCW;20.722
Edelweiss Large Cap Fund - Direct Plan - IDCW Option;30.6
Edelweiss Large Cap Fund - Direct Plan-Growth option;67.46
Edelweiss Large Cap Fund - Plan B - IDCW Option;61.78
Edelweiss Large Cap Fund - Plan C - IDCW Option;49.25
Edelweiss Large Cap Fund - Regular Plan - Growth Option;60.68
Edelweiss Large Cap Fund - Regular Plan - IDCW Option;23.18
Edelweiss Large Cap Fund -Plan B - Growth option;61.05
Edelweiss Large Cap Fund -Plan C - Growth option;60.25
Franklin India BLUECHIP FUND - Direct - IDCW ;46.0684
Franklin India BLUECHIP FUND - IDCW ;40.3827
Franklin India Bluechip Fund- Direct - Growth;793.1407
Franklin India Bluechip Fund-Growth;728.7266
Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option;36.07
Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Regular Plan- Growth Option;30.95
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);20.91
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Half Yearly -Income Distribution cum capital withdrawal Option (Payout & Reinvestment);20.29
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);16.12
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Quarterly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);20.14
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);17.44
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Half Yearly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);18.58
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);17.83
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Quarterly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);18.48
HDFC Top 100 Fund - Growth Option - Direct Plan;859.155
HDFC Top 100 Fund - Growth Option - Regular Plan;804.268
HDFC Top 100 Fund - IDCW Option - Direct Plan;55.849
HDFC Top 100 Fund - IDCW Option - Regular Plan;49.29
HSBC Large Cap Fund - Direct Growth;370.5130
HSBC Large Cap Fund - Direct IDCW;37.0103
HSBC Large Cap Fund - Regular Growth;340.1267
HSBC Large Cap Fund - Regular IDCW;39.5461
ICICI Prudential Bluechip Fund - Direct Plan - Growth;79.62
ICICI Prudential Bluechip Fund - Direct Plan - IDCW;45.91
ICICI Prudential Bluechip Fund - Growth;73.37
ICICI Prudential Bluechip Fund - IDCW;25.46
ICICI Prudential Bluechip Fund - Institutional Option - I - Growth;37.59
IDBI India Top 100 Equity Fund Growth;42.68
IDBI India Top 100 Equity Fund Growth Direct;47.89
IDBI India Top 100 Equity Fund IDCW;25.33
